               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.051543,            0.031751,           0.0021261,             0.84899,             0.73676,             0.74182,             0.31375,            0.054207,             0.02856,          0.00092587,           0.0076679,           0.0076679,           0.0076679
                  36,            0.051792,            0.032491,           0.0020639,             0.74098,             0.67674,             0.63505,             0.25067,            0.060569,            0.030306,           0.0013179,            0.007543,            0.007543,            0.007543
                  37,            0.051155,            0.030229,           0.0018931,             0.79169,             0.69782,             0.68288,             0.29451,            0.054851,            0.029334,           0.0010139,            0.007416,            0.007416,            0.007416
                  38,            0.050997,            0.032356,           0.0018289,             0.82986,             0.73573,             0.72805,             0.30409,            0.054618,            0.029134,          0.00091486,           0.0072872,           0.0072872,           0.0072872
                  39,            0.050822,            0.031725,           0.0019931,             0.75625,                0.71,             0.67213,             0.28529,            0.058462,            0.029421,          0.00088679,           0.0071566,           0.0071566,           0.0071566
                  40,            0.049639,            0.029702,           0.0015618,             0.81363,             0.70563,             0.70049,             0.30752,            0.055522,            0.029741,          0.00087235,           0.0070243,           0.0070243,           0.0070243
                  41,            0.049686,            0.031378,           0.0020501,             0.78838,             0.67302,             0.66523,              0.2829,            0.058081,            0.029965,           0.0011329,           0.0068906,           0.0068906,           0.0068906
                  42,            0.050358,            0.030259,           0.0016691,             0.77719,             0.71052,             0.68033,             0.27892,            0.057718,            0.029144,           0.0010184,           0.0067555,           0.0067555,           0.0067555
                  43,            0.048747,            0.030314,            0.001548,             0.76454,             0.71199,             0.67424,              0.2827,            0.056676,            0.029383,          0.00080593,           0.0066191,           0.0066191,           0.0066191
                  44,            0.048809,            0.029627,           0.0017348,              0.7866,             0.71346,             0.68453,             0.27443,            0.057669,            0.030345,          0.00090347,           0.0064816,           0.0064816,           0.0064816
                  45,            0.049423,            0.030641,           0.0016386,             0.76556,             0.70953,             0.67553,             0.28941,            0.055948,            0.031449,          0.00083919,           0.0063432,           0.0063432,           0.0063432
                  46,            0.049576,            0.031204,           0.0019262,              0.8058,             0.73519,             0.71066,             0.31214,            0.054518,            0.028978,          0.00088965,            0.006204,            0.006204,            0.006204
                  47,            0.049081,            0.030092,           0.0018879,             0.79742,             0.69563,             0.67459,             0.28995,            0.056862,            0.030342,          0.00076017,            0.006064,            0.006064,            0.006064
                  48,            0.049612,            0.033036,           0.0015193,             0.74902,             0.70896,             0.66006,             0.28693,            0.057865,            0.031395,            0.000761,           0.0059235,           0.0059235,           0.0059235
                  49,            0.048373,            0.029411,           0.0015165,             0.77478,             0.70252,             0.66933,             0.28489,            0.055417,            0.030542,          0.00067134,           0.0057826,           0.0057826,           0.0057826
                  50,            0.047828,            0.029229,            0.001365,             0.78651,             0.71101,             0.67736,             0.29196,            0.056796,            0.029228,          0.00088374,           0.0056413,           0.0056413,           0.0056413
                  51,            0.048064,            0.030658,           0.0013069,             0.78068,             0.72718,             0.68107,             0.30453,            0.055548,            0.030057,          0.00060391,              0.0055,              0.0055,              0.0055
                  52,            0.047916,            0.031202,           0.0016139,             0.80043,              0.7076,             0.67878,             0.29947,            0.056342,            0.030146,          0.00079392,           0.0053587,           0.0053587,           0.0053587
                  53,            0.047457,            0.029894,           0.0016027,             0.80281,             0.73645,             0.70969,             0.30347,            0.053889,              0.0288,          0.00073874,           0.0052174,           0.0052174,           0.0052174
                  54,            0.047847,            0.030798,           0.0016876,             0.81922,             0.73838,             0.71987,             0.31581,            0.052881,            0.029749,          0.00066437,           0.0050765,           0.0050765,           0.0050765
                  55,            0.047662,            0.030476,           0.0013804,             0.84329,             0.75407,              0.7455,             0.33563,            0.052138,            0.028221,          0.00064781,            0.004936,            0.004936,            0.004936
                  56,            0.047574,            0.030971,           0.0015705,             0.78369,              0.7193,              0.6885,             0.29901,            0.055129,            0.030017,          0.00065259,            0.004796,            0.004796,            0.004796
                  57,            0.047734,            0.031349,           0.0013447,             0.78627,             0.70466,             0.68217,             0.29958,            0.056541,            0.030032,          0.00068051,           0.0046568,           0.0046568,           0.0046568
                  58,            0.046393,            0.029116,           0.0011391,             0.78824,             0.72082,             0.68932,             0.31629,            0.054825,            0.029278,          0.00071289,           0.0045184,           0.0045184,           0.0045184
                  59,            0.046316,            0.028199,           0.0011201,             0.76219,             0.69391,             0.66129,             0.28506,            0.056392,            0.029962,          0.00064385,           0.0043809,           0.0043809,           0.0043809
                  60,            0.046362,            0.031303,            0.001229,             0.80542,             0.72647,             0.70414,             0.31456,            0.054809,            0.030875,           0.0006062,           0.0042445,           0.0042445,           0.0042445
                  61,            0.045816,            0.029546,           0.0011563,             0.77134,             0.71391,             0.67363,             0.27972,            0.057814,            0.030875,          0.00067084,           0.0041094,           0.0041094,           0.0041094
                  62,            0.046176,            0.028817,           0.0011145,             0.82204,             0.73717,             0.71602,             0.32216,            0.053252,             0.02963,          0.00065718,           0.0039757,           0.0039757,           0.0039757
                  63,            0.046287,            0.028804,           0.0012725,             0.80927,             0.72862,             0.70561,             0.30927,            0.053044,            0.029124,           0.0006735,           0.0038434,           0.0038434,           0.0038434
                  64,            0.046193,            0.030662,           0.0011009,             0.77474,             0.71589,             0.67178,             0.28856,             0.05663,            0.031359,          0.00072601,           0.0037128,           0.0037128,           0.0037128
                  65,            0.046171,            0.030603,           0.0012771,             0.78082,             0.71246,             0.66561,             0.29415,            0.057687,            0.030921,          0.00068757,            0.003584,            0.003584,            0.003584
                  66,            0.045934,            0.028554,           0.0012965,             0.78856,             0.73301,             0.69586,             0.30297,            0.054495,            0.029767,          0.00072246,            0.003457,            0.003457,            0.003457
                  67,            0.044605,            0.031163,           0.0012154,              0.8067,             0.73391,             0.69937,             0.30887,            0.054907,            0.030631,          0.00067182,           0.0033321,           0.0033321,           0.0033321
                  68,            0.045303,            0.030381,           0.0011258,             0.78755,             0.71144,             0.67726,             0.29493,            0.055294,            0.030799,          0.00059998,           0.0032093,           0.0032093,           0.0032093
                  69,            0.045335,            0.030084,           0.0010956,             0.78061,             0.73502,             0.68496,             0.30462,            0.055564,            0.030849,          0.00063198,           0.0030888,           0.0030888,           0.0030888
                  70,            0.044458,             0.02905,           0.0010779,             0.82461,             0.75113,             0.73028,             0.31626,            0.053752,            0.029839,          0.00054044,           0.0029706,           0.0029706,           0.0029706
                  71,            0.044027,            0.030121,          0.00094766,             0.78665,             0.72031,              0.6834,             0.30556,            0.055335,            0.030567,          0.00058816,            0.002855,            0.002855,            0.002855
                  72,            0.044842,            0.030396,           0.0011283,             0.78288,              0.7124,             0.67145,             0.30231,            0.056704,            0.030425,          0.00065632,           0.0027419,           0.0027419,           0.0027419
                  73,            0.043754,            0.029463,          0.00092832,             0.81414,             0.73917,             0.70545,             0.32114,            0.053656,             0.02973,          0.00057633,           0.0026316,           0.0026316,           0.0026316
                  74,             0.04472,            0.029516,           0.0010088,             0.77706,              0.7127,             0.66475,             0.29434,            0.055524,            0.030444,          0.00064622,           0.0025241,           0.0025241,           0.0025241
                  75,            0.044033,            0.029409,          0.00090939,             0.79324,             0.72375,             0.68136,              0.3079,            0.054636,            0.030712,          0.00064105,           0.0024195,           0.0024195,           0.0024195
                  76,            0.043571,             0.02804,           0.0010199,             0.77882,             0.72276,             0.67375,             0.30256,            0.056473,            0.031326,          0.00068885,            0.002318,            0.002318,            0.002318
                  77,            0.043308,            0.030158,          0.00086035,             0.82347,             0.73792,             0.70956,              0.3187,            0.054036,            0.030307,          0.00065013,           0.0022196,           0.0022196,           0.0022196
                  78,            0.042536,              0.0307,           0.0010951,             0.80976,             0.73255,             0.68958,             0.30954,            0.055419,            0.031061,          0.00062893,           0.0021245,           0.0021245,           0.0021245
                  79,            0.044033,             0.02969,          0.00090775,             0.82746,             0.72757,             0.70972,             0.31555,            0.053484,            0.030355,          0.00064502,           0.0020327,           0.0020327,           0.0020327
                  80,            0.044242,            0.029544,           0.0011069,             0.81074,             0.72825,             0.69227,              0.3167,            0.054313,            0.030047,          0.00065536,           0.0019443,           0.0019443,           0.0019443
                  81,            0.043712,            0.030052,            0.001122,             0.80101,             0.72862,             0.68513,             0.30813,            0.054413,            0.030327,          0.00063504,           0.0018594,           0.0018594,           0.0018594
                  82,            0.043514,            0.030738,           0.0010132,             0.81108,             0.73515,             0.69443,             0.30981,             0.05466,            0.031256,          0.00064553,           0.0017781,           0.0017781,           0.0017781
                  83,            0.042748,            0.027595,          0.00073857,              0.7674,             0.71606,             0.66467,             0.30149,             0.05614,            0.031273,          0.00061842,           0.0017005,           0.0017005,           0.0017005
                  84,            0.042483,            0.028497,          0.00093391,             0.79672,             0.73398,             0.69032,             0.32127,            0.054039,            0.030845,          0.00060536,           0.0016267,           0.0016267,           0.0016267
                  85,            0.043063,            0.029484,            0.001075,             0.81217,             0.73058,             0.69487,             0.31187,            0.053134,             0.03032,          0.00064729,           0.0015566,           0.0015566,           0.0015566
                  86,            0.043046,            0.029789,           0.0010793,             0.79186,              0.7208,             0.67889,             0.30988,            0.054277,            0.030941,           0.0006505,           0.0014905,           0.0014905,           0.0014905
                  87,            0.043544,            0.029754,           0.0010712,             0.80881,             0.73708,              0.7015,             0.31936,            0.053181,            0.029782,          0.00065099,           0.0014283,           0.0014283,           0.0014283
                  88,            0.042036,            0.027815,          0.00076496,             0.79882,             0.72765,             0.69182,             0.30953,            0.054824,            0.030525,          0.00064406,           0.0013701,           0.0013701,           0.0013701
                  89,            0.042759,            0.029693,           0.0009137,             0.80117,             0.73646,             0.69321,               0.313,            0.054402,            0.030652,          0.00061659,            0.001316,            0.001316,            0.001316
                  90,            0.043047,            0.029158,          0.00097893,             0.79203,             0.73106,             0.68561,             0.31139,             0.05481,            0.031043,          0.00065066,            0.001266,            0.001266,            0.001266
                  91,            0.042571,             0.02971,          0.00089617,             0.79173,             0.73833,             0.69386,             0.32078,            0.053982,              0.0306,          0.00063167,           0.0012202,           0.0012202,           0.0012202
                  92,            0.043098,             0.02862,          0.00087764,             0.80438,             0.73876,             0.69981,             0.30897,              0.0545,            0.030671,           0.0006397,           0.0011787,           0.0011787,           0.0011787
                  93,              0.0421,            0.029695,           0.0006009,             0.79194,              0.7237,             0.67826,             0.30023,            0.055724,            0.031389,          0.00064059,           0.0011414,           0.0011414,           0.0011414
                  94,            0.043059,            0.027749,          0.00086099,             0.78554,             0.72516,             0.68125,             0.31159,            0.054842,            0.030858,          0.00062123,           0.0011084,           0.0011084,           0.0011084
                  95,            0.042522,            0.029164,          0.00095049,             0.81896,             0.74827,             0.72211,             0.32896,            0.052502,             0.02978,          0.00060641,           0.0010797,           0.0010797,           0.0010797
                  96,            0.043501,            0.029015,          0.00078422,             0.81124,             0.73979,             0.71008,              0.3238,            0.053242,             0.02994,          0.00058037,           0.0010554,           0.0010554,           0.0010554
                  97,            0.042536,            0.030144,          0.00087556,             0.81532,             0.73819,             0.70291,               0.323,            0.053558,            0.029825,          0.00059075,           0.0010355,           0.0010355,           0.0010355
                  98,            0.042244,            0.030124,          0.00081382,             0.78836,             0.72709,             0.68147,             0.30618,            0.055125,            0.031306,          0.00058694,             0.00102,             0.00102,             0.00102
                  99,             0.04217,            0.028778,            0.000825,             0.78781,             0.72131,             0.67714,             0.31096,            0.055009,            0.031138,          0.00058326,           0.0010089,           0.0010089,           0.0010089
